Unnamed: 0,IMSDB_Title,RT_Title,CriticScore,AudienceScore,CriticScoreCategory
200,Bling-Ring,Bling-Ring,59.0,33.0,rotten
201,Blood-and-Wine,Blood-and-Wine,61.0,35.0,fresh
202,Blood-Simple,Blood-Simple,94.0,88.0,certified fresh
203,Blow,Blow,55.0,87.0,rotten
204,Blue-Valentine,Blue-Valentine,87.0,77.0,certified fresh
205,Blue-Velvet,Blue-Velvet,94.0,88.0,certified fresh
206,Blues-Brothers,Blues-Brothers,84.0,92.0,certified fresh
209,Body-of-Evidence,Body-of-Evidence,8.0,22.0,rotten
210,Bodyguard,Bodyguard,33.0,64.0,rotten
211,Bones,Bones,23.0,40.0,rotten
212,Bonfire-of-the-Vanities,Bonfire-of-the-Vanities,16.0,26.0,rotten
213,Bonnie-and-Clyde,Bonnie-and-Clyde,88.0,88.0,certified fresh
214,Boogie-Nights,Boogie-Nights,93.0,89.0,certified fresh
215,Book-of-Eli,Book-of-Eli,47.0,64.0,rotten
217,Boondock-Saints,Boondock-Saints,28.0,91.0,rotten
218,Bottle-Rocket,Bottle-Rocket,85.0,80.0,certified fresh
219,Bound,Bound,89.0,82.0,certified fresh
220,Bounty-Hunter,Bounty-Hunter,12.0,51.0,rotten
221,Bourne-Identity,Bourne-Identity,83.0,93.0,certified fresh
222,Bourne-Supremacy,Bourne-Supremacy,82.0,90.0,certified fresh
223,Bourne-Ultimatum,Bourne-Ultimatum,92.0,91.0,certified fresh
224,Box,Box,44.0,24.0,rotten
225,Boxtrolls,Boxtrolls,77.0,63.0,certified fresh
226,Boyhood,Boyhood,97.0,81.0,certified fresh
227,Braveheart,Braveheart,78.0,85.0,certified fresh
230,Breakdown,Breakdown,81.0,67.0,certified fresh
231,Breakfast-Club,Breakfast-Club,89.0,92.0,certified fresh
232,Breaking-Away,Breaking-Away,95.0,88.0,certified fresh
233,Brick,Brick,80.0,86.0,certified fresh
234,Bridesmaids,Bridesmaids,90.0,76.0,certified fresh
235,Bringing-Out-the-Dead,Bringing-Out-the-Dead,72.0,70.0,fresh
236,Broadcast-News,Broadcast-News,98.0,79.0,certified fresh
237,Broken-Arrow,Broken-Arrow,89.0,70.0,certified fresh
238,Broken-Arrow,Broken-Arrow,52.0,44.0,rotten
239,Broken-Embraces,Broken-Embraces,81.0,75.0,certified fresh
240,Brothers-Bloom,Brothers-Bloom,68.0,64.0,fresh
241,Bruce-Almighty,Bruce-Almighty,48.0,57.0,rotten
242,Buffy-the-Vampire-Slayer,Buffy-the-Vampire-Slayer,35.0,43.0,rotten
243,Bull-Durham,Bull-Durham,97.0,82.0,certified fresh
244,Buried,Buried,87.0,65.0,certified fresh
245,Burlesque,Burlesque,37.0,64.0,rotten
246,Burn-After-Reading,Burn-After-Reading,78.0,65.0,certified fresh
247,Burning-Annie,Burning-Annie,50.0,38.0,rotten
248,Butterfly-Effect,Butterfly-Effect,33.0,81.0,rotten
249,Cable-Guy,Cable-Guy,54.0,51.0,rotten
251,Capote,Capote,90.0,82.0,certified fresh
252,Carrie,Carrie,93.0,77.0,certified fresh
253,Carrie,Carrie,20.0,50.0,rotten
254,Carrie,Carrie,50.0,44.0,rotten
255,Carrie,Carrie,83.0,59.0,certified fresh
256,Cars-2,Cars-2,39.0,49.0,rotten
257,Casablanca,Casablanca,99.0,95.0,certified fresh
258,Case-39,Case-39,21.0,39.0,rotten
259,Casino,Casino,80.0,93.0,certified fresh
260,Cast-Away,Cast-Away,88.0,84.0,certified fresh
261,Catch-Me-If-You-Can,Catch-Me-If-You-Can,96.0,89.0,certified fresh
262,Catwoman,Catwoman,9.0,18.0,rotten
263,Cecil-B.-Demented,Cecil-B.-Demented,53.0,67.0,rotten
